filename	gene_list_size	cluster_number	cluster_size	n_genes	n_terms	n_edges	n_libraries	density	libraries
permutation_0070	50	1	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0071	50	1	9	7	2	8	2	1.1428571428571428	C2: CP: Reactome Pathways, C5: GO: Cellular Component
permutation_0071	50	2	5	4	1	4	1	1.0	C5: GO: Molecular Function
permutation_0072	50	1	13	9	4	15	3	1.6666666666666667	C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0072	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0073	50	1	7	5	2	6	2	1.2	C2: CP: WikiPathways, C5: GO: Molecular Function
permutation_0074	50	1	20	11	9	31	6	2.8181818181818183	C2: CP: KEGG Legacy, C2: CP: Reactome Pathways, C2: CP: WikiPathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0075	50	1	8	6	2	9	2	1.5	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0075	50	2	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0075	50	3	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0076	50	1	10	7	3	10	2	1.4285714285714286	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0076	50	2	7	5	2	6	2	1.2	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0076	50	3	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0076	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0077	50	1	7	5	2	6	2	1.2	C5: GO: Biological Process, C5: GO: Cellular Component
permutation_0077	50	2	6	5	1	5	1	1.0	C5: GO: Biological Process
permutation_0078	50	1	7	6	1	6	1	1.0	C5: GO: Molecular Function
permutation_0078	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0078	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0078	50	4	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0078	50	5	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0079	50	1	11	7	4	15	4	2.142857142857143	C2: CP: Reactome Pathways, C5: GO: Biological Process, C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0079	50	2	5	3	2	6	2	2.0	C5: GO: Biological Process, C5: GO: Molecular Function
permutation_0080	50	1	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0080	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0081	50	1	4	3	1	3	1	1.0	C5: GO: Molecular Function
permutation_0081	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0081	50	3	4	3	1	3	1	1.0	C5: GO: Cellular Component
permutation_0082	50	1	8	6	2	7	2	1.1666666666666667	C5: GO: Cellular Component, C5: GO: Molecular Function
permutation_0083	50	1	7	5	2	6	2	1.2	C2: CP: Reactome Pathways, C5: GO: Biological Process
permutation_0083	50	2	4	3	1	3	1	1.0	C2: CP: Reactome Pathways
permutation_0084	50	1	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0084	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0084	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0085	50	1	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0085	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0085	50	3	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0085	50	4	4	3	1	3	1	1.0	C5: GO: Biological Process
permutation_0087	50	1	5	4	1	4	1	1.0	C5: GO: Biological Process
permutation_0087	50	2	4	3	1	3	1	1.0	C5: GO: Biological Process
